
text,label
"inborn errors of metabolism (iem) are hereditary diseases that affect how the body processes nutrients. they vary both in how they appear in a patient and in they underlying genetic causes. to date, more than 1000 different iem have been identified. though each individual disease is rare, taken altogether the rate has been shown to be upwards of 1 in 800. the way the diseases appear in patients can vary. this makes it difficult it diagnose them. iem are present in all ethnic groups and across every age. some iem can be treated, with promising outcomes. however, doctors suspecting these diseases from patient exams is not enough alone to reduce health problems and death. in the last decade, expanded newborn screening has become a mandatory public health strategy in most developed and developing countries. this is due to the advent of a chemical detection technology called tandem mass spectrometry. this technology allows more than 30 different metabolic disorders to be detected at low cost in one single blood spot specimen. the cost is about 10 dollars per baby, and the tests are highly accurate. studies of cost-effectiveness have confirmed that the savings from expanded newborn screening programs are much greater than the costs of running them. the side effects of false positives (when the test is positive but the patient does not have the disease) are not significant in light of the economic and health benefits produced by expanded newborn screening. further, these side effects could be lessened with more education, better communication, and improved technology. local screening agencies should be given the freedom to create their own screening programs so they can keep up with international advancements. improvements in knowledge of genes and how they affect the body are closely linked with expanded newborn screening. this knowledge is growing because of advancements in nanotechnology (working with things at the microscopic level) and molecular genomics (the study of how changes dna drive hereditary outcomes). the potential of tandem mass spectrometry is extending to cover more disorders. in fact, one promising example is the use of genetic markers for severe combined immunodeficiency (scid), a disease that makes people extremely vulnerable to germs. newborn screening represents the highest volume of genetic testing. it is more than a test and it calls for providing organized healthcare before, during, and after the test. there should be a comprehensive reporting system requiring genetic counselling as well as short-term and long-term follow-up. it is essential to integrate existing clinical iem services with the expanded newborn screening program. this is to enable close communication between the laboratory, clinicians, and allied health parties. in this article reviewing the topic, we will discuss the history of iem, how it appears in children and adults, and its rate among different ethnicities. we will also discuss the history and recent expansion of newborn screening, its cost-effectiveness, associated pros and cons, and the ethical issues that can arise. finally, we will discuss the technical aspects of tandem mass spectrometry and considerations for interpreting results.",0
"monoclonal antibodies are medicines recommended in mild to moderate covid-19 patients who are at risk of progressing to a severe stage of the disease. monoclonal antibodies are medicines that may block the virus that causes covid-19 (a breathing-related disease) from attaching to human cells, making it more difficult for the virus to reproduce. monoclonal antibodies are not widely used in the united states because there is little data on the impact of these drugs, and it is difficult to give these drugs to patients. this study aimed to assess the outcomes of monoclonal antibodies in patients who were mostly from ethnic minority groups and to study the challenges in providing the treatment in an inner-city hospital in the south bronx. researchers looked at data previously collected from 49 patients who were offered monoclonal antibody medicines. the 38 patients who received the monoclonal antibody therapy were put in the treatment group. eleven people did not want to receive the medicines, so they were made the comparison group. a majority of patients (76%) reported improvement in their symptoms the day after receiving the medicine. there was a big reduction in hospital stays due to covid-19 and death in the group that received monoclonal antibody medicines. monoclonal antibody medicines reduced both hospital stays and deaths in this predominantly hispanic group of patients with mild or moderate covid-19.",0
"fetal hemoglobin (hbf) makes the severity of sickle cell anemia (sca) better. the major specific genetic areas effecting hbf levels are in the hbb cluster, bcl11a, and hmip-2 (hbs1l-myb) genes. researchers need to know more about how the areas of these genes effect the process of hbf levels and the outcome of disease in sca. researchers analyzed the function and relationship of 14 mutations in 5 specific genetic areas of the genes with hbf levels and disease outcomes in 250 children with sca in southeastern brazil. they found single mutations that were linked to hbf levels in bcl11a and hmip-2a and hmip-2b genes. patients who had minor mutations (carriers) that increased hbf levels (hbf-boosting) had reduced white blood cells counts. carriers of other minor mutations (genetic differences) showed higher levels of oxygen in the blood. patients carrying still other minor genetic differences in bcl11a showed lower risk of transfusions. these findings were separate from the hbf effect. carriers of other minor mutations showed lower risk of acute chest syndrome. carriers of the standard minor genetic change showed lower risk of infection. patients carrying hbf-boosting minor mutations of bcl11a and hmip-2 genes had milder disease. higher hbf levels may be the cause of this effect.",0
"central nervous system adverse effects are commonly reported with pregabalin (pgb). on the other hand, movement disorders (mds) associated with this drug were rarely described. however, their occurrence could significantly affect the quality of life of pgb users. this literature review aims to evaluate the clinical epidemiological profile, pathological mechanisms, and management of pgb-associated mds. relevant reports in six databases were identified and assessed by two reviewers without language restriction. a total of 46 reports containing 305 cases from 17 countries were assessed. the mds encountered were as follows: 184 individuals with ataxia, 61 with tremors, 39 with myoclonus, 8 with parkinsonism, 1 with restless legs syndrome, 1 with dystonia, 1 with dyskinesia, and 1 with akathisia. the mean age was 62 years (range: 23-94). the male sex was slightly predominant with 54.34%. the mean pgb dose when the md occurred was 238 mg, and neuropathic pain was the most common indication of pgb. the time from pgb start to md was < 1 month at 75%. the time from pgb withdrawal to recovery was < 1 week at 77%. all the individuals where the follow-up was reported had a full recovery. the most common management was pgb withdrawal. in the literature, the majority of the cases did not report information about timeline events, neurological examination details, or electrodiagnostic studies. the best management for all mds is probably pgb withdrawal. if the patient is on dialysis program, perhaps an increased number of sessions will decrease recovery time. furthermore, the addition of a benzodiazepine could accelerate recovery.",1
"selective serotonin reuptake inhibitors (ssris) are a recently developed class of drugs with significantly greater antidepressant efficacy than placebo. generally, in double-blind comparative trials, all ssris demonstrated antidepressant efficacy similar to that of the 'standard' tricyclic antidepressants amitriptyline and imipramine; a meta-analysis of controlled trials found the efficacy of the ssris to be equivalent to that of the 2 tricyclics. nevertheless, because of small patient numbers included in most studies that compare ssris with other antidepressants, no definitive statements about relative efficacy can be made. in these studies it is simply possible to state that no statistically significant differences were identified between ssris and the comparative antidepressants. importantly, differences in clinical characteristics exist between the ssris-differences in elimination half-life (t1/2 beta) between fluoxetine and/or its metabolite (total t1/2 beta = 330 hours) and other ssris (t1/2 beta range = 15 to 30 hours), for example. this has implications in terms of potential drug interactions and must be considered when patients have to be switched to treatment with monoamine oxidase inhibitors. studies with fluvoxamine have been conducted in both in- and outpatients, whereas trials with other ssris have been confined largely to outpatient populations. fluvoxamine has been associated with a high incidence of nausea (37%), although this may have resulted from high initial dosages (rather than upward dose titration protocols) used in early trials. of further interest, fluoxetine doses of 20mg may be sufficient to produce a satisfactory antidepressant response, and this ssri may be particularly useful in patients with chronic retarded depression. more clinical data are required before the efficacy of sertraline and citalopram relative to standard antidepressants can be clearly defined. preliminary data indicate that ssris are effective in the treatment of panic disorder, obsessive-compulsive disorder (ocd), eating (e.g. anorexia and bulimia) and personality disorders (e.g. anger, impulsiveness) and substance abuse (e.g. alcoholism); early results with fluvoxamine in the treatment of panic disorder and ocd, and with fluoxetine in the treatment of bulimia, personality disorders and alcohol abuse, have been encouraging. ssris have a more favourable tolerability profile than tricyclic antidepressants and, unlike the tricyclics, are not associated with anticholinergic adverse effects, sedation, cardiotoxicity or weight gain. ssris are associated with a relatively high incidence of nausea, particularly if high doses are used at the start of treatment. however, the incidence of nausea appears to decrease as treatment is continued.",1
"sickle cell disease (scd) is a monogenetic disorder due to a single base-pair point mutation in the β-globin gene resulting in the substitution of the amino acid valine for glutamic acid in the β-globin chain. phenotypic variation in the clinical presentation and disease outcome is a characteristic feature of the disorder. understanding the pathogenesis and pathophysiology of the disorder is central to the choice of therapeutic development and intervention. in this special edition for newborn screening for haemoglobin disorders, it is pertinent to describe the genetic, pathologic and clinical presentation of sickle cell disease as a prelude to the justification for screening. through a systematic review of the literature using search terms relating to scd up till 2019, we identified relevant descriptive publications for inclusion. the scope of this review is mainly an overview of the clinical features of pain, the cardinal symptom in scd, which present following the drop in foetal haemoglobin as young as five to six months after birth. the relative impact of haemolysis and small-vessel occlusive pathology remains controversial, a combination of features probably contribute to the different pathologies. we also provide an overview of emerging therapies in scd.",1
"pacemakers are electronic devices that stimulate the heart with electrical impulses to maintain or restore a normal heartbeat. in 1952, a physician named zoll described an effective way of supporting patients with internal heart pacemaker activity and/or sending pulses through tissue by an artificial, electric, external pacemaker device. the pacing of the heart was accomplished by electrodes placed under the skin but could be maintained only for a short period. in 1957, complete heart block was treated using electrodes directly attached to the heart. these early observations started the idea that cardiac electrical failure (in which the heart cannot maintain a normal heart rate) can be controlled. it ultimately led to the development of the totally implantable (permanently under the skin) pacemaker by chardack, gage, and greatbatch. since then, there have been several advancements in pacemakers, and the modern-day permanent pacemaker is placed under the skin. there are 3 types of artificial pacemakers: implantable pulse generators; external, miniaturized, patient portable, battery-powered, pulse generators to temporarily control heart rates; console battery or ac-powered devices or monitors with high-current external pads placed on top of the skin, or low-current inside the body for temporary pacing in uncoordinated contracting of the heart or at infrequent times. all heart pacemakers consist of 2 components: a pulse generator which provides the electrical impulse for stimulation on the heart muscle and 1 or more electrodes or leads which deliver the electrical impulse from the generator to the heart muscle.",0
"neuropathic pain is caused by damage to the nervous system (like brain and spinal cord) and is often described as a shooting pain, burning sensation, or numbness. gabapentin is a common medication used to treat neuropathic pain, including neuropathic pain caused by diabetes. the objective of this study is to evaluate the role of diabetes and controlling blood sugar on people taking gabapentin. a clinical trial is conducted in patients with neuropathic pain due to type 2 diabetes (19 people) or a slipped disc in the neck or spine (10 people). all participants are treated with a single dose of gabapentin by mouth. blood is sampled up to 24 hours after gabapentin is given. data are analyzed using computer models. other information are included in the model including weight, sex, kidney functions and other changes in genes that impact how the medication works. the total clearance of gabapentin from the body depends on how well the kidneys are able to process and filter the drug. the estimated total clearance of the drug (completely removed) in the population is 14.7 liters per hour. no major association is found with having high blood sugar levels, a diabetes diagnosis, or with age, sex, weight or other factors evaluated. this model studying how the drug is processed in the body estimates gabapentin concentrations in patients with neuropathic pain. the distribution and clearance processes of gabapentin are not affected by having high blood sugar levels or diabetes.",0
"hyperhomocysteinemia (hhcy), when there is excess homocysteine in the blood, is a risk factor for cardiovascular, or blood- and heart-related, and cerebrovascular, or blood- and brain-related, diseases. homocysteine is an intermediate amino acid (molecule that form proteins). a specific genetic variation or gene change, known as c677t 5, 10-methylenetetrahydrofolate reductase (mthfr) gene polymorphism, which alters the mthfr protein involved in blood pressure, increases homocysteine (hcy) levels. this study analyzed the relationship between c677t mthfr variation and the therapeutic, beneficial effect (response after a treatment) of lowering hcy in stroke patients with hhcy. baseline data, meaning prior to treatment, was collected from stroke patients with hhcy for this study. the c677t mthfr genotype was detected, and the therapeutic effect to reduce hcy was compared. of 200 stroke patients, 162 completed follow-up and were evaluated. most of them responded well to treatment, but 59 patients were in the poor efficacy or poor effect group. there was a significant difference in terms of age, hypertension (high blood pressure), hyperuricemia (high uric acid or waste), hcy after treatment, and mthfr genotype between the poor efficacy and effective groups. the poor efficacy group had more participated with tt genotype of the genetic variant. statistical analysis showed that the t allele (an alternative form of a gene) was associated with poor efficacy. the tt genotype was associated with poor outcomes. the study concluded the t allele and tt genotype of the mthfr c677t genetic variation was associated with poor hcy reduction treatment efficacy in stroke patients with hhcy.",0
"we explored the terms used to refer to the mental and tiredness related side effects and their frequency in clinical trials of anti-seizure or anti-epileptic drugs (aeds). we took data from publicly available government documents and from public literature. target drug doses were calculated as drug amounts and divided into low, average, and high. we calculated the chances of developing side effects for each drug amount and if there was a link between the amount of dose and the bodily response. we found that mental terms used across trials varied. data on drug stoppage rates were limited. dummy treatment rates for mental side effects ranged from 0 to 10.6%. the same rates for fatigue ranged from 2.5 to 37.7%. with the inconsistent dummy treatment rates and terminology in mind, the majority of aeds showed a link between dose amount and bodily response. except for the drugs brivaracetam and zonisamide, they also showed increased chance of mental side effects at high doses. except for the drugs tiagabine, topiramate, and zonisamide, they also showed increased chance of fatigue side effects at high doses. due to their health-related relevance and impact on life, new trials should make data about the amount and stoppage rates of these side effects publicly available. given the clear link between dose amount and bodily response, physicians should consider lower drug amount to improve tolerability.",0
